COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;22/09/2023 01:40:52;22/09/2023 04:44:25;-22.639482;-50.091972;540.93;0;;BC_HYD_PRESS;last;;Numeric;;305;KPA;305
ACC000028047;CEQ000439555;7411;22/09/2023 01:39:42;22/09/2023 04:44:25;-22.639484;-50.091957;544.05;0;;BC_HYD_PRESS;last;;Numeric;;405;KPA;405
ACC000028047;CEQ000439555;7411;22/09/2023 01:37:42;22/09/2023 04:44:25;-22.63957;-50.091892;544.06;0;;BC_HYD_PRESS;last;;Numeric;;415;KPA;415
ACC000028047;CEQ000439555;7411;22/09/2023 02:47:04;22/09/2023 06:35:18;-22.644249;-50.093437;536.78;18.7;;BC_HYD_PRESS;last;;Numeric;;7035;KPA;7035
ACC000028047;CEQ000439555;7411;22/09/2023 02:46:03;22/09/2023 06:35:18;-22.644804;-50.093662;540.38;26.6;;BC_HYD_PRESS;last;;Numeric;;3825;KPA;3825
ACC000028047;CEQ000439555;7411;22/09/2023 03:06:27;22/09/2023 06:35:18;-22.638071;-50.09179;541.94;0;;BC_HYD_PRESS;last;;Numeric;;305;KPA;305
ACC000028047;CEQ000439555;7411;22/09/2023 03:05:26;22/09/2023 06:35:18;-22.638073;-50.091793;542.98;0;;BC_HYD_PRESS;last;;Numeric;;305;KPA;305
ACC000028047;CEQ000439555;7411;22/09/2023 03:04:26;22/09/2023 06:35:18;-22.638062;-50.09178;544.61;0;;BC_HYD_PRESS;last;;Numeric;;310;KPA;310
ACC000028047;CEQ000439555;7411;22/09/2023 03:03:26;22/09/2023 06:35:18;-22.638062;-50.091778;543.65;0;;BC_HYD_PRESS;last;;Numeric;;310;KPA;310
ACC000028047;CEQ000439555;7411;22/09/2023 03:02:26;22/09/2023 06:35:18;-22.638075;-50.091793;541.14;0;;BC_HYD_PRESS;last;;Numeric;;320;KPA;320
ACC000028047;CEQ000439555;7411;22/09/2023 03:01:27;22/09/2023 06:35:18;-22.638071;-50.091785;541.34;0;;BC_HYD_PRESS;last;;Numeric;;320;KPA;320
ACC000028047;CEQ000439555;7411;22/09/2023 02:56:05;22/09/2023 06:35:18;-22.63806;-50.091766;538.49;0;;BC_HYD_PRESS;last;;Numeric;;425;KPA;425
ACC000028047;CEQ000439555;7411;22/09/2023 02:49:04;22/09/2023 06:35:18;-22.642166;-50.092697;535.92;19.9;;BC_HYD_PRESS;last;;Numeric;;4630;KPA;4630
ACC000028047;CEQ000439555;7411;22/09/2023 02:42:02;22/09/2023 05:44:23;-22.641985;-50.092777;538.22;200.4;;BC_HYD_PRESS;last;;Numeric;;5430;KPA;5430
